"p","omega","delta","mu_e","mu_ql","mu_el","mu_qn","mu_en","mu_qa","mu_ea","mu_h","beta_nh","beta_hl","beta_hn","lambda_l","lambda_n","lambda_a","alpha","f_l","f_n","f_a","kappa","c","Tf","obsprob","T_min_l","gamma","E0","QL0","EL_s0","EL_i0","QN_s0","QN_i0","EN_s0","EN_i0","QA_s0","QA_i0","EA0","H_s0","H_i0","LogLik"
2000,5.15946002462865,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004169885547128,0.000540923679337,27.8028989160177,1660,0.997699124454952,0.625641591767285,0.810359634994072,9.04E-06,0.4,4,0.876201169600866,17.0144536801407,0.333333333333333,83933.8365339868,39.3462053655581,0.513031018206981,475.43565727044,26.9537543969477,80.7651226784212,6.18265660081943,10.3760403254977,363.54419567701,159452.41467156,11638.6822084753,6.1E-05,0.998884646127766,-1294.60620031994
2000,5.21009526379731,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004169885547128,0.000540923679337,27.8028989160177,1660,0.997699124454952,0.619447120561668,0.834004427820866,8.83E-06,0.4,4,0.876201169600866,17.0466310848502,0.333333333333333,89942.7324527317,35.2441334908653,0.442752533716999,459.093432362083,26.6772724678002,70.8077934309881,5.75049551220428,10.3453313768126,424.528852086995,146087.805201228,11151.0918756376,5.87E-05,0.999006122598298,-1294.6062985852
2000,5.29391752715294,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.005539583161947,0.000568085324639,28.6207128136478,1660,0.815469245865919,0.495588333909242,0.933538039580103,7.44E-06,0.4,4,0.809160196692503,17.0359716081093,0.333333333333333,19242.9056563969,221.347655282531,19.780246702308,611.718569674593,24.1466571518322,27.8990413121128,1.66181151682698,9.30048154463978,1.008179017319,420052.167397159,38945.2825049156,3.97E-06,0.999942060971706,-1294.60669080989
2000,5.43502354763888,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.005539583161947,0.000568085324639,28.6207128136478,1660,0.815469245865919,0.500544217248334,0.935004158324966,7.44E-06,0.4,4,0.809160196692503,17.0077297939314,0.333333333333333,17238.0721491096,233.960730740374,22.0128672823956,606.161473353285,28.1384650180283,26.125837173552,1.83064817219977,7.8346794535245,1.16896083159348,381523.558084944,45187.1380699122,4.03E-06,0.999947050616035,-1294.60677173407
2000,5.55172661518762,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.008233489220048,0.000466769427231,8.75758711925161,1660,0.729526646272701,0.995736860410364,0.461367527830224,3.95E-05,0.4,4,0.294995750138245,17.0912824923107,0.333333333333333,97.0734283696432,41.6423628065742,17.7586910950381,264.920317214878,9.03367222321058,212.447511851596,2.62627712361494,53.8331580864362,687.767625706064,29755.4684683958,3.83094416674473,0.999855318018901,0.000140315656355,-1294.60729447931
2000,5.66936598106816,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.008233489220048,0.000480913007645,9.74126544934681,1660,0.723742099671622,0.996211058686972,0.457038079336421,3.71E-05,0.4,4,0.294995750138245,17.1315181230169,0.333333333333333,106.005557904778,47.4887356383157,18.99901724865,293.549148993327,9.44308188919835,179.714622105812,2.6826558043204,51.5394721526726,678.591106502702,25561.9189348648,4.52740970840912,0.999936519981759,5.96E-05,-1294.6078868714
2000,5.75621752127314,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.008233489220048,0.000490579359099,9.82770284534053,1660,0.72233519319554,0.996125262994437,0.453623572118017,3.63E-05,0.4,4,0.294995750138245,17.1715820499994,0.333333333333333,104.714835803338,50.6420139088401,19.4137965350522,298.507939846937,9.62100522700107,175.960842960933,2.71084515915838,45.8758069230004,667.953572970039,26449.1728653145,4.54917437954456,0.999938375303194,5.79E-05,-1294.6079161339
2000,5.83435155903914,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.008233489220048,0.000500440004217,9.76064428453793,1660,0.713753010037437,0.995991084526558,0.453633902569778,3.72E-05,0.4,4,0.294995750138245,17.1764756061835,0.333333333333333,96.2791920980334,44.533622692019,16.4699474732007,300.611557651231,8.93733402973755,178.906133626827,2.36803447528508,48.6074914951445,732.087730291276,47782.8003207731,4.08424522025801,0.999941098347038,5.52E-05,-1294.60794288739
2000,5.89364047433483,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.008233489220048,0.000505444404259,10.1808199014186,1660,0.717183536416972,0.996635562204027,0.44897660021251,3.66E-05,0.4,4,0.294995750138245,17.2029775816216,0.333333333333333,111.830307146919,51.465231466774,10.2874957770228,306.141647852871,9.27976392410844,167.389540049022,2.61168363958984,46.2380056534077,746.574635336114,29657.0423333464,4.2389498819555,0.999933786142166,6.27E-05,-1294.60810230908
2000,6.05449357562538,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.003980632299581,0.000688345451642,5.81074411637762,1660,0.89442326762399,0.493432701932119,0.999800390992821,4.24E-05,0.4,4,0.958507040541179,17.0450760378683,0.333333333333333,40913.3503462132,8.38058581001683,0.040303707307779,52.5770656400283,88.6004518502481,87.1601572502848,30.4206809242569,8.09613286142547,79.8291843793474,51198.103117788,93161.2792833131,1.16E-05,0.999678004955535,-1294.60814155897
